0 1 Bulbasaur Planta Veneno
1 3 Venusaur Planta Veneno
2 5 Charmeleon Fuego Fuego
3 6 Charizard Fuego Volador
4 7 Squirtle Agua Agua
5 8 Wartortle Agua Agua
6 9 Blastoise Agua Agua
7 10 Caterpie Bicho Bicho
8 12 Butterfree Bicho Volador
9 13 Weedle Bicho Veneno
10 15 Beedrill Bicho Veneno
11 16 Pidgey Normal Volador
12 18 Pidgeot Normal Volador
13 19 Rattata Normal Normal
14 20 Raticate Normal Normal
15 21 Spearow Normal Volador
16 22 Fearow Normal Volador
17 24 Arbok Veneno Veneno
18 25 Pikachu Eléctrico Eléctrico
19 26 Raichu Eléctrico Eléctrico
20 27 Sandshrew Tierra Tierra
21 28 Sandslash Tierra Tierra
22 29 Nidoran♀ Veneno Veneno
23 30 Nidoqueen Veneno Tierra
24 32 Nidoran♂ Veneno Veneno
25 34 Nidoking Veneno Tierra
26 35 Clefairy Hada1 Hada1
27 37 Vulpix Fuego Fuego
28 38 Ninetales Fuego Fuego
29 39 Jigglypuff Normal Hada1
30 40 Wigglytuff Normal Hada1
31 43 Oddish Planta Veneno
32 44 Gloom Planta Veneno
33 45 Vileplume Planta Veneno
34 46 Paras Bicho Planta
35 47 Parasect Bicho Planta
36 48 Venonat Bicho Veneno
37 50 Diglett Tierra Tierra
38 52 Meowth Normal Normal
39 53 Persian Normal Normal
40 54 Psyduck Agua Agua
41 55 Golduck Agua Agua
42 56 Mankey Lucha Lucha
43 57 Primeape Lucha Lucha
44 58 Growlithe Fuego Fuego
45 59 Arcanine Fuego Fuego
46 60 Poliwag Agua Agua
47 61 Poliwhirl Agua Agua
48 62 Poliwrath Agua Lucha
49 65 Alakazam Psíquico Psíquico
50 66 Machop Lucha Lucha
51 67 Machoke Lucha Lucha
52 68 Machamp Lucha Lucha
53 69 Bellsprout Planta Veneno
54 70 Weepinbell Planta Veneno
55 71 Victreebel Planta Veneno
56 72 Tentacool Agua Veneno
57 73 Tentacruel Agua Veneno
58 74 Geodude Roca Tierra
59 76 Golem Roca Tierra
60 77 Ponyta Fuego Fuego
61 78 Rapidash Fuego Fuego
62 79 Slowpoke Agua Psíquico
63 80 Slowbro Agua Psíquico
64 81 Magnemite Eléctrico Acero
65 82 Magneton Eléctrico Acero
66 83 Farfetch'd Normal Volador
67 84 Doduo Normal Volador
68 85 Dodrio Normal Volador
69 86 Seel Agua Agua
70 87 Dewgong Agua Hielo
71 89 Muk Veneno Veneno
72 90 Shellder Agua Agua
73 92 Gastly Fantasma Veneno
74 93 Haunter Fantasma Veneno
75 94 Gengar Fantasma Veneno
76 95 Onix Roca Tierra
77 97 Hypno Psíquico Psíquico
78 99 Kingler Agua Agua
79 100 Voltorb Eléctrico Eléctrico
80 101 Electrode Eléctrico Eléctrico
81 102 Exeggcute Planta Psíquico
82 103 Exeggutor Planta Psíquico
83 104 Cubone Tierra Tierra
84 106 Hitmonlee Lucha Lucha
85 107 Hitmonchan Lucha Lucha
86 108 Lickitung Normal Normal
87 110 Weezing Veneno Veneno
88 111 Rhyhorn Tierra Roca
89 112 Rhydon Tierra Roca
90 113 Chansey Normal Normal
91 114 Tangela Planta Planta
92 115 Kangaskhan Normal Normal
93 116 Horsea Agua Agua
94 118 Goldeen Agua Agua
95 119 Seaking Agua Agua
96 120 Staryu Agua Agua
97 121 Starmie Agua Psíquico
98 122 Mr. Mime Psíquico
99 123 Scyther Bicho Volador
100 124 Jynx Hielo Psíquico
101 125 Electabuzz Eléctrico Eléctrico
102 126 Magmar Fuego Fuego
103 127 Pinsir Bicho Bicho
104 128 Tauros Normal Normal
105 129 Magikarp Agua Agua
106 130 Gyarados Agua Volador
107 131 Lapras Agua Hielo
108 133 Eevee Normal Normal
109 134 Vaporeon Agua Agua
110 135 Jolteon Eléctrico Eléctrico
111 136 Flareon Fuego Fuego
112 143 Snorlax Normal Normal
113 144 Articuno Hielo Volador
114 145 Zapdos Eléctrico Volador
115 146 Moltres Fuego Volador
116 147 Dratini Dragón Dragón
117 148 Dragonair Dragón Dragón
118 149 Dragonite Dragón Volador
119 152 Chikorita Planta Planta
120 153 Bayleef Planta Planta
121 154 Meganium Planta Planta
122 155 Cyndaquil Fuego Fuego
123 156 Quilava Fuego Fuego
124 158 Totodile Agua Agua
125 159 Croconaw Agua Agua
126 160 Feraligatr Agua Agua
127 161 Sentret Normal Normal
128 162 Furret Normal Normal
129 163 Hoothoot Normal Volador
130 164 Noctowl Normal Volador
131 167 Spinarak Bicho Veneno
132 168 Ariados Bicho Veneno
133 169 Crobat Veneno Volador
134 170 Chinchou Agua Eléctrico
135 171 Lanturn Agua Eléctrico
136 173 Cleffa Hada1 Hada1
137 174 Igglybuff Normal Hada1
138 175 Togepi Hada1 Hada1
139 177 Natu Psíquico Volador
140 178 Xatu Psíquico Volador
141 179 Mareep Eléctrico Eléctrico
142 181 Ampharos Eléctrico Eléctrico
143 182 Bellossom Planta Planta
144 183 Marill Agua Hada3
145 184 Azumarill Agua Hada3
146 186 Politoed Agua Agua
147 187 Hoppip Planta Volador
148 188 Skiploom Planta Volador
149 189 Jumpluff Planta Volador
150 190 Aipom Normal Normal
151 192 Sunflora Planta Planta
152 194 Wooper Agua Tierra
153 195 Quagsire Agua Tierra
154 196 Espeon Psíquico Psíquico
155 197 Umbreon Siniestro Siniestro
156 198 Murkrow Siniestro Volador
157 199 Slowking Agua Psíquico
158 200 Misdreavus Fantasma Fantasma
159 201 Unown Psíquico Psíquico
160 202 Wobbuffet Psíquico Psíquico
161 203 Girafarig Normal Psíquico
162 204 Pineco Bicho Bicho
163 205 Forretress Bicho Acero
164 207 Gligar Tierra Volador
165 208 Steelix Acero Tierra
166 210 Granbull Hada1 Hada1
167 211 Qwilfish Agua Veneno
168 212 Scizor Bicho Acero
169 214 Heracross Bicho Lucha
170 215 Sneasel Siniestro Hielo
171 216 Teddiursa Normal Normal
172 217 Ursaring Normal Normal
173 218 Slugma Fuego Fuego
174 219 Magcargo Fuego Roca
175 220 Swinub Hielo Tierra
176 221 Piloswine Hielo Tierra
177 222 Corsola Agua Roca
178 223 Remoraid Agua Agua
179 224 Octillery Agua Agua
180 225 Delibird Hielo Volador
181 226 Mantine Agua Volador
182 227 Skarmory Acero Volador
183 228 Houndour Siniestro Fuego
184 229 Houndoom Siniestro Fuego
185 230 Kingdra Agua Dragón
186 231 Phanpy Tierra Tierra
187 232 Donphan Tierra Tierra
188 234 Stantler Normal Normal
189 236 Tyrogue Lucha Lucha
190 237 Hitmontop Lucha Lucha
191 238 Smoochum Hielo Psíquico
192 239 Elekid Eléctrico Eléctrico
193 240 Magby Fuego Fuego
194 241 Miltank Normal Normal
195 243 Raikou Eléctrico Eléctrico
196 244 Entei Fuego Fuego
197 245 Suicune Agua Agua
198 246 Larvitar Roca Tierra
199 247 Pupitar Roca Tierra
200 248 Tyranitar Roca Siniestro
201 249 Lugia Psíquico Volador
202 250 Ho-Oh Fuego Volador
203 257 Blaziken Fuego Lucha
204 263 Zigzagoon Normal Normal
205 270 Lotad Agua Planta
206 273 Seedot Planta Planta
207 278 Wingull Agua Volador
208 279 Pelipper Agua Volador
209 285 Shroomish Planta Planta
210 319 Sharpedo Agua Siniestro
211 320 Wailmer Agua Agua
212 352 Kecleon Normal Normal
213 360 Wynaut Psíquico Psíquico
